1,1,tensor(46.5291)
1,2,tensor(46.6743)
2,3,tensor(45.8603)
2,4,tensor(44.9671)
3,5,tensor(42.1823)
3,6,tensor(39.0383)
1,1,tensor(45.9104)
1,2,tensor(45.8879)
4,7,tensor(37.1474)
4,8,tensor(33.7997)
2,3,tensor(44.1814)
2,4,tensor(42.1337)
5,9,tensor(31.9807)
5,10,tensor(30.1908)
3,5,tensor(39.1116)
3,6,tensor(39.3319)
6,11,tensor(29.0847)
6,12,tensor(28.0499)
4,7,tensor(36.1585)
4,8,tensor(34.5797)
7,13,tensor(28.0606)
7,14,tensor(27.5548)
8,15,tensor(27.5646)
8,16,tensor(27.0195)
5,9,tensor(33.4684)
5,10,tensor(32.1050)
9,17,tensor(27.1596)
9,18,tensor(26.6720)
6,11,tensor(30.8186)
6,12,tensor(29.9419)
10,19,tensor(26.8548)
10,20,tensor(26.3864)
7,13,tensor(29.3376)
7,14,tensor(28.3382)
11,21,tensor(26.6250)
11,22,tensor(26.1606)
8,15,tensor(27.7620)
8,16,tensor(27.2080)
12,23,tensor(26.3440)
12,24,tensor(25.8235)
13,25,tensor(26.1306)
13,26,tensor(25.6215)
9,17,tensor(26.9638)
9,18,tensor(26.7320)
14,27,tensor(25.8592)
14,28,tensor(25.3370)
1,1,tensor(46.7000)
1,2,tensor(46.8575)
10,19,tensor(26.7042)
10,20,tensor(26.4815)
15,29,tensor(25.5361)
15,30,tensor(25.0158)
2,3,tensor(46.0163)
2,4,tensor(45.1017)
11,21,tensor(26.5100)
11,22,tensor(26.2772)
16,31,tensor(25.2767)
16,32,tensor(24.7316)
3,5,tensor(42.2407)
3,6,tensor(38.9677)
12,23,tensor(26.3695)
12,24,tensor(26.1915)
17,33,tensor(24.9680)
17,34,tensor(24.3807)
4,7,tensor(36.7728)
4,8,tensor(33.9768)
13,25,tensor(26.2299)
13,26,tensor(26.0532)
18,35,tensor(24.6243)
18,36,tensor(24.0847)
1,1,tensor(46.7319)
1,2,tensor(46.8971)
5,9,tensor(31.7877)
5,10,tensor(30.0478)
19,37,tensor(24.3271)
19,38,tensor(23.7674)
14,27,tensor(26.1382)
14,28,tensor(25.8799)
2,3,tensor(46.0365)
2,4,tensor(45.0766)
20,39,tensor(24.0012)
20,40,tensor(23.4473)
6,11,tensor(28.9476)
6,12,tensor(28.0042)
15,29,tensor(25.9407)
15,30,tensor(25.7370)
3,5,tensor(42.2236)
3,6,tensor(39.0526)
