1,1,22,"tensor(2.5496, device='cuda:0')","tensor(0.1914, device='cuda:0')","tensor(0.1847, device='cuda:0')","tensor(0.0861, device='cuda:0')","tensor(2.1709, device='cuda:0')","tensor(0.8792, device='cuda:0')","tensor(0., device='cuda:0')"
1,1,23,"tensor(2.9010, device='cuda:0')","tensor(0.1799, device='cuda:0')","tensor(0.1829, device='cuda:0')","tensor(0.0993, device='cuda:0')","tensor(2.5213, device='cuda:0')","tensor(0.9016, device='cuda:0')","tensor(0., device='cuda:0')"
1,1,24,"tensor(3.9822, device='cuda:0')","tensor(0.1805, device='cuda:0')","tensor(0.1727, device='cuda:0')","tensor(0.1218, device='cuda:0')","tensor(3.5860, device='cuda:0')","tensor(0.7613, device='cuda:0')","tensor(0., device='cuda:0')"
1,1,25,"tensor(2.1004, device='cuda:0')","tensor(0.1715, device='cuda:0')","tensor(0.1623, device='cuda:0')","tensor(0.0774, device='cuda:0')","tensor(1.7625, device='cuda:0')","tensor(0.7886, device='cuda:0')","tensor(0., device='cuda:0')"
1,1,26,"tensor(3.2613, device='cuda:0')","tensor(0.1824, device='cuda:0')","tensor(0.1985, device='cuda:0')","tensor(0.0990, device='cuda:0')","tensor(2.8718, device='cuda:0')","tensor(0.8940, device='cuda:0')","tensor(0., device='cuda:0')"
1,1,27,"tensor(1.7482, device='cuda:0')","tensor(0.1762, device='cuda:0')","tensor(0.1787, device='cuda:0')","tensor(0.0585, device='cuda:0')","tensor(1.4159, device='cuda:0')","tensor(0.8183, device='cuda:0')","tensor(0., device='cuda:0')"
1,1,28,"tensor(2.8863, device='cuda:0')","tensor(0.1864, device='cuda:0')","tensor(0.1900, device='cuda:0')","tensor(0.0999, device='cuda:0')","tensor(2.4956, device='cuda:0')","tensor(0.9336, device='cuda:0')","tensor(0., device='cuda:0')"
1,1,29,"tensor(2.5056, device='cuda:0')","tensor(0.1842, device='cuda:0')","tensor(0.1868, device='cuda:0')","tensor(0.0893, device='cuda:0')","tensor(2.1280, device='cuda:0')","tensor(1.0694, device='cuda:0')","tensor(0., device='cuda:0')"
1,1,30,"tensor(0.6729, device='cuda:0')","tensor(0.1839, device='cuda:0')","tensor(0.1832, device='cuda:0')","tensor(0.0309, device='cuda:0')","tensor(0.3572, device='cuda:0')","tensor(0.9342, device='cuda:0')","tensor(0., device='cuda:0')"
1,1,31,"tensor(3.1746, device='cuda:0')","tensor(0.1652, device='cuda:0')","tensor(0.1801, device='cuda:0')","tensor(0.1045, device='cuda:0')","tensor(2.8064, device='cuda:0')","tensor(0.8514, device='cuda:0')","tensor(0., device='cuda:0')"
1,1,32,"tensor(3.5624, device='cuda:0')","tensor(0.1840, device='cuda:0')","tensor(0.1838, device='cuda:0')","tensor(0.1160, device='cuda:0')","tensor(3.1620, device='cuda:0')","tensor(0.8538, device='cuda:0')","tensor(0., device='cuda:0')"
1,1,33,"tensor(3.9023, device='cuda:0')","tensor(0.1859, device='cuda:0')","tensor(0.1746, device='cuda:0')","tensor(0.1218, device='cuda:0')","tensor(3.4975, device='cuda:0')","tensor(0.9763, device='cuda:0')","tensor(0., device='cuda:0')"
1,1,34,"tensor(3.4891, device='cuda:0')","tensor(0.1611, device='cuda:0')","tensor(0.1721, device='cuda:0')","tensor(0.1101, device='cuda:0')","tensor(3.1233, device='cuda:0')","tensor(0.8589, device='cuda:0')","tensor(0., device='cuda:0')"
1,1,35,"tensor(2.7446, device='cuda:0')","tensor(0.1667, device='cuda:0')","tensor(0.1503, device='cuda:0')","tensor(0.0856, device='cuda:0')","tensor(2.4087, device='cuda:0')","tensor(0.8457, device='cuda:0')","tensor(0., device='cuda:0')"
1,1,36,"tensor(2.8040, device='cuda:0')","tensor(0.1830, device='cuda:0')","tensor(0.1831, device='cuda:0')","tensor(0.0855, device='cuda:0')","tensor(2.4350, device='cuda:0')","tensor(0.9025, device='cuda:0')","tensor(0., device='cuda:0')"
