20,"tensor(0.0529, device='cuda:0')","tensor(0.0720, device='cuda:0')","tensor(0.0630, device='cuda:0')","tensor(0.0724, device='cuda:0')","tensor(10.1880, device='cuda:0')","tensor(4.7445, device='cuda:0')","tensor(21.4693, device='cuda:0')","tensor(0., device='cuda:0')"
21,"tensor(0.0602, device='cuda:0')","tensor(0.0761, device='cuda:0')","tensor(0.0669, device='cuda:0')","tensor(0.0767, device='cuda:0')","tensor(11.1822, device='cuda:0')","tensor(4.9967, device='cuda:0')","tensor(22.3387, device='cuda:0')","tensor(0., device='cuda:0')"
22,"tensor(0.0593, device='cuda:0')","tensor(0.0677, device='cuda:0')","tensor(0.0584, device='cuda:0')","tensor(0.0783, device='cuda:0')","tensor(10.0212, device='cuda:0')","tensor(4.8675, device='cuda:0')","tensor(21.7477, device='cuda:0')","tensor(0., device='cuda:0')"
23,"tensor(0.0566, device='cuda:0')","tensor(0.0717, device='cuda:0')","tensor(0.0612, device='cuda:0')","tensor(0.0725, device='cuda:0')","tensor(10.7684, device='cuda:0')","tensor(5.0822, device='cuda:0')","tensor(22.6973, device='cuda:0')","tensor(0., device='cuda:0')"
24,"tensor(0.0540, device='cuda:0')","tensor(0.0674, device='cuda:0')","tensor(0.0569, device='cuda:0')","tensor(0.0708, device='cuda:0')","tensor(9.9541, device='cuda:0')","tensor(4.7249, device='cuda:0')","tensor(20.3446, device='cuda:0')","tensor(0., device='cuda:0')"
25,"tensor(0.0490, device='cuda:0')","tensor(0.0640, device='cuda:0')","tensor(0.0535, device='cuda:0')","tensor(0.0669, device='cuda:0')","tensor(9.3268, device='cuda:0')","tensor(4.5868, device='cuda:0')","tensor(19.6407, device='cuda:0')","tensor(0., device='cuda:0')"
26,"tensor(0.0468, device='cuda:0')","tensor(0.0666, device='cuda:0')","tensor(0.0515, device='cuda:0')","tensor(0.0673, device='cuda:0')","tensor(8.4644, device='cuda:0')","tensor(4.3264, device='cuda:0')","tensor(18.2983, device='cuda:0')","tensor(0., device='cuda:0')"
27,"tensor(0.0456, device='cuda:0')","tensor(0.0602, device='cuda:0')","tensor(0.0482, device='cuda:0')","tensor(0.0636, device='cuda:0')","tensor(8.1301, device='cuda:0')","tensor(4.1066, device='cuda:0')","tensor(17.5346, device='cuda:0')","tensor(0., device='cuda:0')"
28,"tensor(0.0550, device='cuda:0')","tensor(0.0736, device='cuda:0')","tensor(0.0528, device='cuda:0')","tensor(0.0803, device='cuda:0')","tensor(8.7828, device='cuda:0')","tensor(4.4035, device='cuda:0')","tensor(20.0389, device='cuda:0')","tensor(0., device='cuda:0')"
29,"tensor(0.0467, device='cuda:0')","tensor(0.0648, device='cuda:0')","tensor(0.0523, device='cuda:0')","tensor(0.0707, device='cuda:0')","tensor(8.2919, device='cuda:0')","tensor(4.3442, device='cuda:0')","tensor(18.7824, device='cuda:0')","tensor(0., device='cuda:0')"
30,"tensor(0.0486, device='cuda:0')","tensor(0.0617, device='cuda:0')","tensor(0.0536, device='cuda:0')","tensor(0.0586, device='cuda:0')","tensor(8.4255, device='cuda:0')","tensor(4.3690, device='cuda:0')","tensor(18.9656, device='cuda:0')","tensor(0., device='cuda:0')"
31,"tensor(0.0499, device='cuda:0')","tensor(0.0603, device='cuda:0')","tensor(0.0524, device='cuda:0')","tensor(0.0630, device='cuda:0')","tensor(8.5335, device='cuda:0')","tensor(4.3801, device='cuda:0')","tensor(18.8754, device='cuda:0')","tensor(0., device='cuda:0')"
32,"tensor(0.0457, device='cuda:0')","tensor(0.0576, device='cuda:0')","tensor(0.0494, device='cuda:0')","tensor(0.0624, device='cuda:0')","tensor(7.9204, device='cuda:0')","tensor(4.0942, device='cuda:0')","tensor(18.0981, device='cuda:0')","tensor(0., device='cuda:0')"
33,"tensor(0.0475, device='cuda:0')","tensor(0.0525, device='cuda:0')","tensor(0.0516, device='cuda:0')","tensor(0.0554, device='cuda:0')","tensor(7.6679, device='cuda:0')","tensor(4.1102, device='cuda:0')","tensor(18.3283, device='cuda:0')","tensor(0., device='cuda:0')"
34,"tensor(0.0389, device='cuda:0')","tensor(0.0651, device='cuda:0')","tensor(0.0424, device='cuda:0')","tensor(0.0739, device='cuda:0')","tensor(6.6807, device='cuda:0')","tensor(3.6033, device='cuda:0')","tensor(15.6945, device='cuda:0')","tensor(0., device='cuda:0')"
35,"tensor(0.0476, device='cuda:0')","tensor(0.0594, device='cuda:0')","tensor(0.0499, device='cuda:0')","tensor(0.0616, device='cuda:0')","tensor(7.8257, device='cuda:0')","tensor(4.2982, device='cuda:0')","tensor(19.5037, device='cuda:0')","tensor(0., device='cuda:0')"
