71,"tensor(0.0130, device='cuda:0')","tensor(0.0242, device='cuda:0')"
72,"tensor(0.0152, device='cuda:0')","tensor(0.0259, device='cuda:0')"
73,"tensor(0.0147, device='cuda:0')","tensor(0.0252, device='cuda:0')"
74,"tensor(0.0161, device='cuda:0')","tensor(0.0246, device='cuda:0')"
75,"tensor(0.0163, device='cuda:0')","tensor(0.0241, device='cuda:0')"
76,"tensor(0.0151, device='cuda:0')","tensor(0.0253, device='cuda:0')"
77,"tensor(0.0127, device='cuda:0')","tensor(0.0264, device='cuda:0')"
78,"tensor(0.0162, device='cuda:0')","tensor(0.0265, device='cuda:0')"
79,"tensor(0.0158, device='cuda:0')","tensor(0.0275, device='cuda:0')"
80,"tensor(0.0132, device='cuda:0')","tensor(0.0263, device='cuda:0')"
81,"tensor(0.0171, device='cuda:0')","tensor(0.0238, device='cuda:0')"
82,"tensor(0.0170, device='cuda:0')","tensor(0.0245, device='cuda:0')"
83,"tensor(0.0146, device='cuda:0')","tensor(0.0215, device='cuda:0')"
84,"tensor(0.0167, device='cuda:0')","tensor(0.0268, device='cuda:0')"
85,"tensor(0.0161, device='cuda:0')","tensor(0.0233, device='cuda:0')"
86,"tensor(0.0155, device='cuda:0')","tensor(0.0242, device='cuda:0')"
87,"tensor(0.0155, device='cuda:0')","tensor(0.0276, device='cuda:0')"
88,"tensor(0.0149, device='cuda:0')","tensor(0.0232, device='cuda:0')"
89,"tensor(0.0132, device='cuda:0')","tensor(0.0212, device='cuda:0')"
90,"tensor(0.0154, device='cuda:0')","tensor(0.0239, device='cuda:0')"
91,"tensor(0.0144, device='cuda:0')","tensor(0.0230, device='cuda:0')"
92,"tensor(0.0135, device='cuda:0')","tensor(0.0210, device='cuda:0')"
93,"tensor(0.0155, device='cuda:0')","tensor(0.0268, device='cuda:0')"
94,"tensor(0.0142, device='cuda:0')","tensor(0.0261, device='cuda:0')"
95,"tensor(0.0148, device='cuda:0')","tensor(0.0203, device='cuda:0')"
96,"tensor(0.0144, device='cuda:0')","tensor(0.0249, device='cuda:0')"
97,"tensor(0.0169, device='cuda:0')","tensor(0.0239, device='cuda:0')"
98,"tensor(0.0138, device='cuda:0')","tensor(0.0221, device='cuda:0')"
99,"tensor(0.0110, device='cuda:0')","tensor(0.0240, device='cuda:0')"
100,"tensor(0.0145, device='cuda:0')","tensor(0.0266, device='cuda:0')"
101,"tensor(0.0142, device='cuda:0')","tensor(0.0252, device='cuda:0')"
1,"tensor(0.9300, device='cuda:0')","tensor(0.6113, device='cuda:0')"
2,"tensor(0.5799, device='cuda:0')","tensor(0.3598, device='cuda:0')"
3,"tensor(0.3099, device='cuda:0')","tensor(0.1341, device='cuda:0')"
4,"tensor(0.0863, device='cuda:0')","tensor(0.0652, device='cuda:0')"
5,"tensor(0.0331, device='cuda:0')","tensor(0.0443, device='cuda:0')"
6,"tensor(0.0273, device='cuda:0')","tensor(0.0420, device='cuda:0')"
7,"tensor(0.0227, device='cuda:0')","tensor(0.0339, device='cuda:0')"
