Sample_ID,Plant_ID,Treated pots,dayTreatment,Dpi,Replicate,sol.sugar nmol/mg,aa µmol/mg,flav µg/mg,phe µg/mg,Chla μg/mg,Chlb μg/mg,Caro μg/mg,pisatin µg/mg,Salicylic acid
40.5,7.0,PI,6PI,8,2.0,103.08500000000001,79.24000000000001,47.295,28.435000000000002,2.08,1.38,1.44,8.39,82.055
41.0,7.0,PI,10PI,10,2.0,100.17,79.15,52.24,27.46,1.65,1.43,1.43,8.4,75.72
41.5,7.0,PI,10PI,12,2.0,93.64,76.17500000000001,56.28,26.975,1.67,1.2799999999999998,1.42,8.095,72.75999999999999
42.0,7.0,PI,14PI,14,2.0,87.11,73.2,60.32,26.49,1.69,1.13,1.41,7.79,69.8
43.0,8.0,MI,0MI,0,2.0,69.83,78.56,4.04,9.68,3.55,1.33,1.37,3.22,49.75
44.0,8.0,MI,2MI,2,2.0,57.9,94.9,24.8,17.72,2.76,1.48,1.32,6.19,86.36
45.0,8.0,MI,4MI,4,2.0,80.14,103.21,36.29,23.79,2.44,1.27,1.36,6.64,100.0
46.0,8.0,MI,6MI,6,2.0,90.32,98.86,37.83,23.14,2.43,1.39,1.36,6.41,100.11
46.5,8.0,MI,6MI,8,2.0,86.005,89.77000000000001,34.864999999999995,25.134999999999998,2.005,1.3399999999999999,1.4100000000000001,5.795,98.84
47.0,8.0,MI,10MI,10,2.0,81.69,80.68,31.9,27.13,1.58,1.29,1.46,5.18,97.57
47.5,8.0,MI,10MI,12,2.0,78.57499999999999,79.045,31.42,26.095,1.685,1.3399999999999999,1.455,5.125,94.94999999999999
48.0,8.0,MI,14MI,14,2.0,75.46,77.41,30.94,25.06,1.79,1.39,1.45,5.07,92.33
49.0,9.0,PC,0PC,0,3.0,52.94,56.73,6.76,17.7,4.63,1.31,1.45,2.04,32.4
50.0,9.0,PC,2PC,2,3.0,47.45,74.6,18.02,16.07,3.34,1.49,1.4,3.5,29.8
51.0,9.0,PC,4PC,4,3.0,67.68,56.48,26.12,14.33,2.9,1.38,1.24,2.1,39.38
52.0,9.0,PC,6PC,6,3.0,68.62,51.76,17.04,15.89,3.99,1.44,1.27,2.16,39.04
52.5,9.0,PC,6PC,8,3.0,65.905,53.58,16.11,15.135000000000002,3.47,1.4449999999999998,1.245,1.9900000000000002,41.94
53.0,9.0,PC,10PC,10,3.0,63.19,55.4,15.18,14.38,2.95,1.45,1.22,1.82,44.84
53.5,9.0,PC,10PC,12,3.0,56.26,46.489999999999995,11.985,15.05,2.9450000000000003,1.4100000000000001,1.225,1.51,41.095
54.0,9.0,PC,14PC,14,3.0,49.33,37.58,8.79,15.72,2.94,1.37,1.23,1.2,37.35
55.0,10.0,MC,0MC,0,3.0,71.83,63.62,13.99,12.1,3.57,1.31,1.4,1.74,48.18
56.0,10.0,MC,2MC,2,3.0,100.1,67.33,11.46,13.88,3.29,1.37,1.37,3.17,61.58
57.0,10.0,MC,4MC,4,3.0,107.08,53.42,15.05,17.52,2.78,1.33,1.27,2.1,64.39
58.0,10.0,MC,6MC,6,3.0,82.69,67.84,22.92,14.79,3.04,1.35,1.28,2.46,56.62
58.5,10.0,MC,6MC,8,3.0,78.57,63.730000000000004,21.08,16.125,2.885,1.355,1.2650000000000001,2.56,53.665
59.0,10.0,MC,10MC,10,3.0,74.45,59.62,19.24,17.46,2.73,1.36,1.25,2.66,50.71
59.5,10.0,MC,10MC,12,3.0,70.73,55.11,20.57,18.295,2.675,1.3650000000000002,1.2650000000000001,2.395,49.215
60.0,10.0,MC,14MC,14,3.0,67.01,50.6,21.9,19.13,2.62,1.37,1.28,2.13,47.72
61.0,11.0,PI,0PI,0,3.0,70.23,70.52,11.5,14.19,3.66,1.32,1.3,2.77,51.11
62.0,11.0,PI,2PI,2,3.0,73.98,52.77,27.74,20.47,3.06,1.23,1.3,4.4,76.9
63.0,11.0,PI,4PI,4,3.0,103.46,65.67,38.55,27.96,2.97,1.19,1.41,5.52,89.19
64.0,11.0,PI,6PI,6,3.0,110.02,70.91,44.16,31.06,1.88,1.35,1.45,8.43,88.4
64.5,11.0,PI,6PI,8,3.0,104.29499999999999,73.5,48.65,29.86,2.34,1.375,1.44,8.405000000000001,82.17
65.0,11.0,PI,10PI,10,3.0,98.57,76.09,53.14,28.66,2.8,1.4,1.43,8.38,75.94
65.5,11.0,PI,10PI,12,3.0,95.455,71.385,56.05,28.125,2.325,1.27,1.43,8.18,72.97999999999999
66.0,11.0,PI,14PI,14,3.0,92.34,66.68,58.96,27.59,1.85,1.14,1.43,7.98,70.02
67.0,12.0,MI,0MI,0,3.0,69.42,61.33,6.3,17.26,4.15,1.3,1.44,3.64,47.5
68.0,12.0,MI,2MI,2,3.0,55.08,97.96,20.73,22.01,3.11,1.45,1.28,6.53,80.95
69.0,12.0,MI,4MI,4,3.0,76.92,99.76,30.87,24.66,2.34,1.28,1.36,6.97,95.05
70.0,12.0,MI,6MI,6,3.0,98.37,90.44,36.03,23.58,2.58,1.35,1.37,6.81,96.06
70.5,12.0,MI,6MI,8,3.0,93.24000000000001,79.815,31.93,25.795,2.205,1.32,1.415,6.05,95.015
71.0,12.0,MI,10MI,10,3.0,88.11,69.19,27.83,28.01,1.83,1.29,1.46,5.29,93.97
71.5,12.0,MI,10MI,12,3.0,78.565,66.025,26.784999999999997,26.92,1.945,1.3399999999999999,1.43,5.220000000000001,90.45
72.0,12.0,MI,14MI,14,3.0,69.02,62.86,25.74,25.83,2.06,1.39,1.4,5.15,86.93
73.0,13.0,PC,0PC,0,4.0,40.48,56.34,9.02,17.37,3.87,1.35,1.32,2.04,40.74
74.0,13.0,PC,2PC,2,4.0,35.39,73.83,16.66,17.5,4.17,1.57,1.34,3.03,40.17
75.0,13.0,PC,4PC,4,4.0,55.22,58.77,22.28,11.48,3.36,1.45,1.18,1.99,52.67
76.0,13.0,PC,6PC,6,4.0,50.93,49.85,15.46,11.49,2.87,1.38,1.15,1.74,50.76
76.5,13.0,PC,6PC,8,4.0,59.875,51.09,14.525,11.175,3.13,1.3849999999999998,1.1549999999999998,1.865,49.379999999999995
77.0,13.0,PC,10PC,10,4.0,68.82,52.33,13.59,10.86,3.39,1.39,1.16,1.99,48.0
77.5,13.0,PC,10PC,12,4.0,64.5,43.81,14.129999999999999,11.92,3.355,1.39,1.17,1.375,44.7
78.0,13.0,PC,14PC,14,4.0,60.18,35.29,14.67,12.98,3.32,1.39,1.18,0.76,41.4
79.0,14.0,MC,0MC,0,4.0,69.02,41.79,13.08,15.51,4.13,1.26,1.38,1.71,49.3
80.0,14.0,MC,2MC,2,4.0,94.08,69.24,14.4,16.95,3.22,1.32,1.35,2.77,64.74
81.0,14.0,MC,4MC,4,4.0,110.29,53.03,13.46,16.86,2.43,1.29,1.24,2.21,68.0
82.0,14.0,MC,6MC,6,4.0,78.67,61.72,20.88,18.97,2.69,1.32,1.22,2.24,61.35
82.5,14.0,MC,6MC,8,4.0,78.97,62.39,21.189999999999998,16.84,2.91,1.3250000000000002,1.22,2.255,58.39
83.0,14.0,MC,10MC,10,4.0,79.27,63.06,21.5,14.71,3.13,1.33,1.22,2.27,55.43
83.5,14.0,MC,10MC,12,4.0,74.955,59.13,22.605,16.205,2.8499999999999996,1.335,1.22,1.975,54.39
84.0,14.0,MC,14MC,14,4.0,70.64,55.2,23.71,17.7,2.57,1.34,1.22,1.68,53.35
85.0,15.0,PI,0PI,0,4.0,77.06,69.75,11.28,13.53,3.46,1.37,1.35,2.61,49.75
86.0,15.0,PI,2PI,2,4.0,79.61,55.45,34.52,20.03,3.29,1.29,1.33,3.89,72.4
87.0,15.0,PI,4PI,4,4.0,108.28,84.44,46.68,26.31,2.3,1.23,1.39,5.07,80.85
88.0,15.0,PI,6PI,6,4.0,108.42,74.35,42.35,30.18,2.64,1.42,1.47,8.1,85.92
88.5,15.0,PI,6PI,8,4.0,106.31,76.555,47.07,30.134999999999998,2.19,1.43,1.46,8.125,78.56
89.0,15.0,PI,10PI,10,4.0,104.2,78.76,51.79,30.09,1.74,1.44,1.45,8.15,71.2
89.5,15.0,PI,10PI,12,4.0,94.85,73.87,59.105000000000004,29.115000000000002,1.96,1.325,1.435,7.845000000000001,68.475
90.0,15.0,PI,14PI,14,4.0,85.5,68.98,66.42,28.14,2.18,1.21,1.42,7.54,65.75
91.0,16.0,MI,0MI,0,4.0,69.42,74.35,7.43,10.78,3.32,1.36,1.4,2.38,47.72
92.0,16.0,MI,2MI,2,4.0,65.14,88.0,24.35,21.57,2.9,1.5,1.27,5.41,85.69
93.0,16.0,MI,4MI,4,4.0,83.76,95.93,30.41,23.89,2.55,1.33,1.37,5.99,99.78
94.0,16.0,MI,6MI,6,4.0,87.51,87.76,33.99,24.79,2.41,1.4,1.37,5.13,99.66
94.5,16.0,MI,6MI,8,4.0,89.22,80.77000000000001,32.945,27.439999999999998,1.9700000000000002,1.37,1.4100000000000001,4.85,98.505
95.0,16.0,MI,10MI,10,4.0,90.93,73.78,31.9,30.09,1.53,1.34,1.45,4.57,97.35
95.5,16.0,MI,10MI,12,4.0,84.195,71.0,32.325,27.96,1.635,1.34,1.4249999999999998,4.37,94.28
96.0,16.0,MI,14MI,14,4.0,77.46,68.22,32.75,25.83,1.74,1.34,1.4,4.17,91.21
97.0,17.0,PC,0PC,0,5.0,48.49,57.65,8.36,14.6,3.99,0.83,1.05,2.16,37.64
98.0,17.0,PC,2PC,2,5.0,43.95,74.51,17.63,16.45,3.71,1.42,0.97,3.33,34.45
99.0,17.0,PC,4PC,4,5.0,65.41,58.3,21.24,13.14,3.39,1.12,0.54,2.27,45.82
100.0,17.0,PC,6PC,6,5.0,65.34,55.16,18.98,13.34,3.38,1.09,0.54,1.74,45.59
100.5,17.0,PC,6PC,8,5.0,65.28999999999999,55.305,18.305,13.215,3.385,1.1099999999999999,0.54,1.865,45.705
101.0,17.0,PC,10PC,10,5.0,65.24,55.45,17.63,13.09,3.39,1.13,0.54,1.99,45.82
101.5,17.0,PC,10PC,12,5.0,62.144999999999996,48.09,15.145,13.465,3.3449999999999998,1.0899999999999999,0.55,1.4,44.34
102.0,17.0,PC,14PC,14,5.0,59.05,40.73,12.66,13.84,3.3,1.05,0.56,0.81,42.86
103.0,18.0,MC,0MC,0,5.0,70.82,54.19,13.11,14.49,3.97,0.76,1.03,1.18,48.09
104.0,18.0,MC,2MC,2,5.0,98.78,72.2,13.11,17.11,3.64,0.95,0.94,2.55,63.09
105.0,18.0,MC,4MC,4,5.0,104.4,55.6,15.37,17.43,2.73,0.82,0.71,2.27,65.82
106.0,18.0,MC,6MC,6,5.0,88.9,62.85,21.47,16.64,2.84,0.94,0.68,2.75,57.64
106.5,18.0,MC,6MC,8,5.0,83.36500000000001,61.84,21.13,16.295,2.9050000000000002,0.955,0.665,2.6799999999999997,55.025
107.0,18.0,MC,10MC,10,5.0,77.83,60.83,20.79,15.95,2.97,0.97,0.65,2.61,52.41
107.5,18.0,MC,10MC,12,5.0,74.735,56.36,21.92,16.1,2.965,0.94,0.655,2.37,50.705
108.0,18.0,MC,14MC,14,5.0,71.64,51.89,23.05,16.25,2.96,0.91,0.66,2.13,49.0
109.0,19.0,PI,0PI,0,5.0,69.6,65.35,15.37,17.57,3.55,1.28,0.91,2.83,49.45
110.0,19.0,PI,2PI,2,5.0,76.85,59.9,30.96,19.53,3.27,0.82,0.84,3.7,74.45
111.0,19.0,PI,4PI,4,5.0,101.56,77.14,42.49,25.89,2.28,0.93,1.06,4.76,85.82
112.0,19.0,PI,6PI,6,5.0,107.58,75.54,43.84,30.37,2.77,1.01,1.24,7.7,87.18
112.5,19.0,PI,6PI,8,5.0,104.89,76.07,48.585,29.259999999999998,2.37,0.925,1.1949999999999998,7.6899999999999995,80.25
113.0,19.0,PI,10PI,10,5.0,102.2,76.6,53.33,28.15,1.97,0.84,1.15,7.68,73.32
113.5,19.0,PI,10PI,12,5.0,95.855,71.935,58.415,27.86,1.9899999999999998,0.925,1.145,7.455,70.025
114.0,19.0,PI,14PI,14,5.0,89.51,67.27,63.5,27.57,2.01,1.01,1.14,7.23,66.73
115.0,20.0,MI,0MI,0,5.0,70.01,70.73,6.78,15.48,3.87,0.93,1.0,3.53,47.18
116.0,20.0,MI,2MI,2,5.0,58.58,89.13,23.05,21.07,3.03,0.68,0.77,6.36,83.55
117.0,20.0,MI,4MI,4,5.0,80.84,97.53,34.35,23.91,2.6,0.55,0.99,6.86,96.73
118.0,20.0,MI,6MI,6,5.0,93.37,89.39,34.8,24.22,2.57,1.02,0.99,5.91,97.41
118.5,20.0,MI,6MI,8,5.0,89.46000000000001,81.265,32.2,26.68,2.2,1.075,1.0899999999999999,5.365,95.93
119.0,20.0,MI,10MI,10,5.0,85.55,73.14,29.6,29.14,1.83,1.13,1.19,4.82,94.45
119.5,20.0,MI,10MI,12,5.0,79.0,72.705,29.265,28.025,1.97,0.7999999999999999,1.145,4.75,91.5
120.0,20.0,MI,14MI,14,5.0,72.45,72.27,28.93,26.91,2.11,0.47,1.1,4.68,88.55
