,0MC_1,0MC_2,0MC_3,2MC_1,2MC_2,2MC_3,4MC_1,4MC_2,4MC_3,6MC_1,6MC_2,6MC_3,10MC_1,10MC_2,10MC_3,14MC_1,14MC_2,14MC_3,0MI_1,0MI_2,0MI_3,2MI_1,2MI_2,2MI_3,4MI_1,4MI_2,4MI_3,6MI_1,6MI_2,6MI_3,10MI_1,10MI_2,10MI_3,14MI_1,14MI_2,14MI_3,0PC_1,0PC_2,0PC_3,2PC_1,2PC_2,2PC_3,4PC_1,4PC_2,4PC_3,6PC_1,6PC_2,6PC_3,10PC_1,10PC_2,10PC_3,14PC_1,14PC_2,14PC_3,0PI_1,0PI_2,0PI_3,2PI_1,2PI_2,2PI_3,4PI_3,4PI_2,4PI_3,6PI_1,6PI_2,6PI_3,10PI_1,10PI_2,10PI_3,14PI_1,14PI_2,14PI_3
unknown_279.0866_17.42771,41707.72,84511.24,26614.04,24667.25,67975.09,85734.65,37294.16,66248.05,1679065.00,23029.94,122581891.00,113801.10,252805.60,25441.02,86257.63,46779.54,70874.16,25733.69,8729440.00,16400000.00,7257902.00,12500000.00,11800000.00,6498914.00,13800000.00,10800000.00,9485707.00,7453828.00,9755011.00,4038678.00,13800000.00,10800000.00,4278918.00,6909652.00,11500000.00,7979840.00,51353.33,105016.60,65382.41,40319.36,73620.62,80867.98,26047.21,87410.22,37409.75,48102.27,849560.60,47826.36,27439.99,69964.34,113412.70,54709.59,42278.40,143363.50,7288110.00,3342331573.00,1824730.00,13100000.00,104344.40,13600000.00,6518022.00,41506.92,9719240.00,7390224.00,14100000.00,6349412.00,2776055.00,14400000.00,11400000.00,10700000.00,12300000.00,15500000.00
L-Proline_[M+H]+_116.0701_7.039677,1822725088.00,4732641.00,4777642.00,4911506.00,7803592.00,2720125.00,4546902.00,5755656.00,3834779.00,4836192.00,4539639.00,2511882.00,6179416.00,3192162.00,3101459.00,4165869.00,3626519.00,1604090.00,12900000.00,12500000.00,17300000.00,15000000.00,6760218.00,7467616.00,11500000.00,6315036.00,6427830.00,12200000.00,7875862.00,8577264.00,10800000.00,5810210.00,6372260.00,9710915.00,3650317.00,4558244.00,4695220.00,8814485.00,6302172.00,4765524.00,4743586.00,6638266.00,3711398.00,3673256.00,2038100.00,3788193.00,7676572.00,2093669.00,4080579.00,6378700.00,816517.10,1300364072.00,1481672155.00,1765499.00,11800000.00,7492496.00,13800000.00,15600000.00,6941162.00,15700000.00,7356714.00,2199613.00,4770826.00,9535893.00,3983197.00,5524090.00,11400000.00,2855806.00,3270870.00,11800000.00,2998869.00,3460076.00
Indole-3-carboxaldehyde_[M]+_145.051_16.05855,126479.30,414306.70,177285.20,282436.10,1026274895.00,148680.50,50599.21,173982.50,95119.54,62330.29,243738.70,77678.22,74261.12,303721.20,1955802.00,229537.50,280387.70,213535.70,1781650.00,1895592.00,2553189.00,2371490.00,2056776.00,2662722.00,1718996.00,2273640.00,2616221.00,1966479.00,1069593.00,980254.00,3294714.00,1246924.00,1884667.00,2541209.00,2156050.00,3437884.00,4486720.00,106149.40,3480070721.00,5484694.00,196079.80,143805.80,208024.10,152683.40,48250.96,259343.90,119450.90,110846.90,63858.96,151032.50,132091.20,83361.93,265218.70,107825.70,2015767.00,210480.10,1874696.00,2169600.00,252046.40,2311846.00,1602866.00,126773.60,2070052.00,2092962.00,990042.80,1568352.00,2700864.00,2528342.00,3876256.00,1925184.00,1911489.00,2589408.00
Dihydromaleimide beta-D-glucoside_[M]+_261.0843_13.19398,726823.90,264956.40,61741.52,74111.33,169370.80,58458.05,26272.73,39251.54,2153636.00,1013458.00,105099.50,588853.40,1931158.00,229671.90,122596.10,83583.49,247484.20,142051.60,2118247599.00,106320.80,172471.80,257170.10,273241.80,41668.40,124426.40,64533.55,149935.80,189494.00,126282.60,348438.50,315603.30,69474.46,96118.85,113446.60,44603.33,95589.24,42423.66,275594.70,290527.90,117254.60,227353.30,222874.70,36087.48,7411714585.00,40235.07,121801.70,2503689.00,57221.98,128704.10,169075.80,232709.60,146987.70,202862.70,2072591.00,178301.40,289362.80,153626.50,120427.90,280940.40,151129.40,160972.70,77967.20,133493.50,105626.60,33463.60,77189.88,144855.90,197707.10,188244.70,181798.80,115320.70,165217.20
unknown_297.16_30.65397,204796.50,467116.70,298914.40,642786.80,1480923319.00,613083.80,375699.20,118323.00,1071989.00,109571476.00,185615.10,151324.70,155306.00,262778.30,101753.70,411868.20,262692.50,5299547943.00,269072.60,278117.00,257780.90,243225.10,324340.50,212175.70,265177.50,277113.20,214056.30,271744.00,215140.40,213047.20,260022.20,311403.80,235123.80,244798.60,259588.70,232556.70,55133.55,436023.00,777102.10,305877.30,407704.80,650374.40,59968.71,113467.10,778536.70,578314.00,188004.60,618426.20,685833.20,357015.80,214691.70,139650.50,398105.80,325606.60,315935.30,465003.00,234187.30,218991.50,708743.80,211357.10,234151.60,386441.50,229689.20,308098.70,269070.80,232510.40,232268.50,238259.90,230801.80,204475.10,274253.90,270283.80
Pinitol_[2M+H]+_389.1624_31.90646,1333720.00,2479470.00,1674236.00,52374.82,2749612.00,5491868.00,1742986.00,194123.50,2230526626.00,2518816.00,2664896.00,5292662.00,2027965.00,3006587.00,4656863.00,2779880.00,3623797.00,1985528.00,1108166.00,868336.20,894886.60,968858.20,1851935.00,1629773.00,645943.70,1743157.00,1394524.00,1212104.00,631660.20,648407.40,1680274.00,513643.80,509895.60,1282046.00,246484.50,180583.90,227582.80,3168162.00,2003874449.00,37151.43,4218076.00,3932903.00,165876.70,456916.00,7030972.00,112930.30,399067.20,6971794.00,8616591181.00,4484000.00,3949943.00,3202702.00,4662304.00,2753746.00,492373.90,5559994.00,866446.50,641168.40,4495118.00,789808.50,584011.20,9275537.00,753616.00,678266.20,911123.10,952023.80,872270.70,553829.80,546011.70,687638.50,622850.60,765657.30
Phenylacetic acid_[2M+H]+_273.1122_14.57322,290183.70,229182.00,509918.80,316450.50,167416.80,825753.70,43773.75,149443.00,138904.70,220532.20,145667.40,1189128.00,42827.55,251747.40,238081.40,138997.40,253581.60,187311.20,43818.86,23677.08,1688072761.00,47295.25,193488.80,139956.70,22065.19,249665.10,141029.90,43947.09,526589.30,352246.50,96127.75,304864.90,267446.70,24139.55,670414.00,670345.50,233322.20,254850.40,302021.70,210080.80,245900.80,332953.40,70138.70,942759.80,339378.30,153759.60,88972.94,170021.50,123646.80,428030.80,240745.90,167710.60,209172.60,69630.70,2793791411.00,360426.20,26545.27,20087.24,315520.40,60055.18,43383.99,802354.40,218771.90,1919014616.00,416176.50,375594.50,148585.50,692363.50,846038.90,26315.01,679675.80,648117.30
ABA_[M+H]+_265.1429_35.82238,121626.40,542376.60,625188.50,823529.20,174498.90,535090.20,111427.70,145009.30,599124.50,100902.20,138439.40,121410.70,413714.30,134997.50,1065100304.00,123384.00,504509.30,85235.57,729233.70,1101592.00,767264.70,855181.80,230567.20,209724.60,623527.40,246382.00,238279.10,625060.10,527452.30,814731.70,726058.10,517206.00,958734.00,592153.20,231517.80,153147.00,121835.90,578485.70,130683.40,66513.73,477084.60,440140.80,124471.20,1014027974.00,1986219502.00,581319.90,315573.80,59266.89,63521.05,563434.60,66017.75,7600029465.00,562824.20,137357.20,610005.80,178807.60,736745.50,530391.20,188575.60,777384.70,369033.50,140274.90,190711.80,451835.20,336924.30,326557.40,607717.80,177797.60,176902.70,423349.20,160460.90,104294.80
(E)-Ferulic acid_[M+H]+_195.0641_25.08777,26981.46,277661.20,46354.65,48508.28,216619.30,51889.72,58884.08,198933.00,22198.55,37659.61,129138.60,46059.04,1939426592.00,186619.30,166353.80,78016.30,112677.00,1571065564.00,39400000.00,32500000.00,31100000.00,33700000.00,13000000.00,11100000.00,28500000.00,10700000.00,9775882.00,35000000.00,27600000.00,25000000.00,26400000.00,21300000.00,18800000.00,21600000.00,50600000.00,48100000.00,48554.29,40340.60,82566.54,84611.31,62937.82,37173.83,53839.86,27329.64,1231771202.00,25353.10,24593.33,37904.10,92336.02,57102.23,35954.84,49049.94,260871.70,27783.06,42100000.00,232412.50,46700000.00,35000000.00,231106.00,42100000.00,20900000.00,92697.00,16400000.00,24800000.00,24700000.00,31700000.00,49100000.00,30000000.00,32200000.00,35200000.00,33700000.00,30200000.00
phenylalanine_[2M+H]+_331.163_34.02259,2026465801.00,2097481.00,1318004.00,7362240.00,2627688.00,1238965.00,4863668.00,3700393.00,1094498.00,1240808.00,1782072.00,3005459026.00,1711821.00,2007915.00,1266009.00,1492139.00,2663080.00,1016197.00,1428230.00,1869971.00,1583353.00,1452610.00,722773.20,733774.70,1028502.00,654942.10,626374.40,894732.20,660711.90,702129.60,219694581.00,891742.50,950327.70,1892991.00,758877.80,685089.80,284708.50,1036330.00,5109764.00,217948.40,1779407556.00,1731585294.00,2794505.00,2087824.00,726519.70,4415030.00,2464373.00,656363.00,3205943.00,1349599.00,461237.80,779325.00,1063405.00,523300.80,2028668.00,1809739.00,2155308.00,2263669.00,1609928.00,1932108.00,1238156.00,1195815.00,520582.90,1191235.00,666323.70,845178.00,1440971.00,431153.00,323458.70,1295558.00,531408.30,465200.50
