,0MC_1,0MC_2,0MC_3,2MC_1,2MC_2,2MC_3,4MC_1,4MC_2,4MC_3,6MC_1,6MC_2,6MC_3,10MC_1,10MC_2,10MC_3,14MC_1,14MC_2,14MC_3,0MI_1,0MI_2,0MI_3,2MI_1,2MI_2,2MI_3,4MI_1,4MI_2,4MI_3,6MI_1,6MI_2,6MI_3,10MI_1,10MI_2,10MI_3,14MI_1,14MI_2,14MI_3,0PC_1,0PC_2,0PC_3,2PC_1,2PC_2,2PC_3,4PC_1,4PC_2,4PC_3,6PC_1,6PC_2,6PC_3,10PC_1,10PC_2,10PC_3,14PC_1,14PC_2,14PC_3,0PI_1,0PI_2,0PI_3,2PI_1,2PI_2,2PI_3,4PI_3,4PI_2,4PI_3,6PI_1,6PI_2,6PI_3,10PI_1,10PI_2,10PI_3,14PI_1,14PI_2,14PI_3
Methyl salicylate_[2M+H]+_305.1018_5.784723,3526168723.00,695718.20,831962.20,615491.40,5737177375.00,208602.00,706792.70,2205777606.00,293960.90,603578.40,233766.00,937145.80,8729137042.00,363431.70,22429.31,282219.30,302513.60,231614.30,183094.30,190415.40,69251.63,188566.10,45590.20,61712.39,34315.28,58477.78,24533.41,22628.13,28646.61,50070.32,198723.90,63241.88,139581.30,162010.20,36641.95,1092618059.00,3220511928.00,660235.10,1585275381.00,1275794108.00,515668.20,579423.30,229101.40,1020062.00,592895.00,216893.60,4559827512.00,321126.60,653201.30,620117.10,355544.80,688835.90,656959.30,1478709161.00,128693.30,561612.00,158668.50,185255.70,482819.20,100725.00,48806.22,739225.60,46554.40,24049.81,38672.49,72263.23,101283.80,81377.24,133372.00,102707.80,1606802742.00,53674.86
L-Proline_[2M+H]+_231.1362_20.51846,217144026.00,50086.39,24390.02,45406.72,127096.50,2197639222.00,2274579192.00,49991.33,490170.10,2027746361.00,44192.67,61880.03,352636.70,135220.10,70403.12,70259.80,56468.71,134361.00,151670.80,128689.50,97986.34,166873.90,64332.51,90457.77,1007622341.00,135074.30,110816.90,1335426281.00,169732.50,39907.90,151652.80,80752.59,110086.60,159103.00,5843114253.00,35826.38,992489.70,22662.76,88257.75,178145.10,69817.76,23692.95,66419.07,282127.70,25386.95,1708249984.00,276798.90,151660.90,27024.10,407062.10,346138.90,147479.20,195574.60,294095.50,174066.10,97147.78,208261.10,245643.10,61683.11,196782.10,1800387069.00,26817.33,187027.90,78854.82,227997.70,215989.50,206903.90,371429.20,167845.10,150754.40,3566675023.00,25892.47
unknown_275.0887_31.03905,22696.45,42807.60,83858.96,25127.90,23600.03,190880.40,43393.42,36800.83,231390.60,1407048132.00,26504.13,174385.30,105357.70,94666.23,39363.24,143031494.00,110425.90,1413775171.00,1097370.00,982492.20,900700.80,975775.30,1341557.00,1049630.00,679646.60,1216030.00,1068126.00,1055242.00,657111.80,478815.60,1009117.00,555498.90,357186.40,829494.90,219789.00,244069.70,1903005815.00,62238.22,36439.00,25471.41,1826759451.00,36222.93,231449.30,2953842266.00,4532293993.00,252727.20,44973.68,1489718943.00,6224066218.00,44718.47,1569535693.00,25066.88,130880.20,85142.57,144789.10,108011.50,87454.84,130820.50,39341.14,1675706904.00,202140.10,1449738429.00,211088.00,144562.80,109643.40,71013.03,371454.10,54752.79,1148864775.00,236623.60,55525.58,25813.34
Dihydromaleimide beta-D-glucoside_[M+H]+_262.0941_9.506431,2141403569.00,162500.80,265593.70,79034.96,94261.82,126282.40,60642.44,317747763.00,9421253886.00,2271547636.00,58706.30,84290.63,21438.52,208432.20,22585.66,40490.07,314596.50,63366.90,149502.60,98875.27,83456.70,124003.60,23281.53,3896255117.00,35105.00,23823.31,50097.57,24701.02,60275.27,24158.14,78584.53,46275.77,24167.49,30635.73,2121066843.00,1631022197.00,24639.59,212557.00,47348.61,72365.50,295241.50,329926.30,27502.27,1383283906.00,189993.40,122720.60,2144863777.00,227061.80,187890808.00,255854.90,466872.40,189394.60,2030955933.00,8829398626.00,153873.40,403729.40,217771.50,383511.60,114357.90,100640.90,178547.40,23109.82,30377.10,141425.70,87399.40,102903.90,144343.20,76702.00,41481.04,90613.47,92691.29,3365083577.00
Adrenaline_[2M+H]+_367.1832_40.02665,126848.80,119585.60,127086.90,134637.30,126963.40,129281.10,2226916756.00,49015.99,127535.60,177594.80,193248.70,1412008674.00,123475.60,73281.74,78211.54,2052292628.00,203034.60,87522.22,215092.10,216057.60,255366.10,247547.90,203789.20,302032.80,238280.90,247758.20,188945.80,406533.10,128490.90,123869.90,466428.30,132816.10,102151.90,479651.50,25032.33,4532990114.00,755892657.00,7214658057.00,2143400371.00,2184950484.00,1893208329.00,173754.50,57399.94,88342.13,160596.30,221806.90,67379.12,79764.92,22203.48,201012.80,47735.20,638719385.00,164897.60,40399.26,233912.00,149265904.00,280398.30,151116.70,1397218174.00,251717.10,252629.50,189857.20,214012.80,244735.20,183885.90,182325.40,234724.30,51334.65,28088.39,170600.30,90565.84,7465738747.00
(-)-Maackiain_[M+H]+_285.0768_3.342737,1000628.00,1148322.00,1008782.00,852374.20,1211249.00,129518.20,1948536.00,1733254.00,4118748746.00,1740730.00,2147752.00,1859864.00,28313.41,4486670.00,14544642.00,3035912.00,3672789.00,1038781.00,2133900068.00,23474.02,1686281711.00,41317.23,42263.44,26574.13,1059592742.00,21662.52,2059789649.00,45169.46,24940.52,25475.39,46039.92,5599920885.00,1716501154.00,28784.61,25103.74,151188.30,20852.97,436464.70,683457.80,26495.56,2101458.00,631284.40,4345636.00,7458562.00,88159.34,4245618.00,4745158.00,1056018.00,435271.80,474571.40,270621.60,323513.20,305725.60,747066.70,34604.79,787835.20,5451772429.00,45146.71,685848.80,1692973974.00,6522777228.00,115149.90,29800.48,7009293827.00,53382.96,1266837709.00,40184.97,54213.64,68337.97,2216722254.00,164678.80,153798.60
unknown_487.0811_3.293069,201461.30,261475.80,289838.00,201640.40,1372453378.00,148091.90,65850.97,64064.86,1623726927.00,63321.55,43711.69,186004.80,33913.00,215582.00,218093365.00,3614751711.00,229176.00,2204201952.00,52041.73,66680.56,92069.44,1790832663.00,124123.20,35235.06,51030.58,132761889.00,25681.41,70592.92,141188.80,2620807963.00,1019827661.00,82817.34,26468.62,114217.40,175109.20,188495.20,6156781249.00,459997.10,1131536767.00,1102630889.00,275713.30,214154.70,355018.50,215598.20,155738.80,153871.10,252935.20,160608.50,270763.00,246132.00,149091.20,333085.00,301961.30,326259.00,2055904699.00,255641.90,42263.00,77350.82,308093.00,74093.46,24242.07,140643.80,39814.22,147838.20,35338.34,146247.50,92779.30,170476.10,126005.30,121497.70,135882.20,127291.80
unknown_187.0781_2.17289,1085897448.00,25383.62,1026550823.00,21436.33,37446.14,22385.31,39381.54,26090.98,377727.90,8744323693.00,586940.60,1922498263.00,271913.20,122062.10,1699565357.00,1601041711.00,199747438.00,1251680196.00,865941.80,775195.10,939051.20,1217656.00,474538.20,544143.50,340583.40,404920.80,406135.40,384121.00,261698.70,337612.70,544616.30,375322.80,308330.60,426408.70,377207.80,441028.30,134479354.00,2183865289.00,43082.96,8968675761.00,8281934985.00,32902.54,1464688992.00,8569044504.00,1943069125.00,21544.05,166322.40,9195656734.00,954928396.00,2055843989.00,2497146071.00,1744921406.00,26414.88,5794216696.00,611622.20,35184.98,744424.70,512382.20,42788.52,697354.90,1744631365.00,1207603198.00,200196.60,119780.80,233852.40,182399.80,629817.30,1729482.00,1621928.00,676217.60,805771.80,598100.80
Vanillic acid_[M+H]+_169.0488_23.77238,33080.83,154056.50,86316.01,35066.12,193395.80,105543.80,60444.24,133748.60,2802702.00,43529.55,219215.20,140198.70,142532.30,225976.60,125553.30,91696.15,176141.90,179331.60,1646504379.00,74508.85,23257.48,2053509796.00,23660.50,54147.54,2124712495.00,1309186502.00,23769.17,21390.44,34356.44,116351.60,50388.11,23522.41,23633.94,9243866185.00,1008909498.00,21694.32,1794062315.00,94130.34,102328.00,121050.50,8573729881.00,45685.07,98044.80,1081012.00,35914.45,1366770684.00,1287990.00,93945.75,46147.59,89424.81,39475.86,36116.55,207689.40,842418.20,26307.82,182651.00,1526051197.00,22004.65,242895.70,36966.05,65053.30,178072.20,7469907899.00,27446.96,1553839172.00,1687124267.00,1624583583.00,1980211536.00,33047.93,34661.40,24469.48,55526.17
unknown_307.0992_45.24587,1790412274.00,54773.34,38473.87,8418078533.00,31611.93,150623.30,7429683819.00,3764170208.00,106370.60,1221899847.00,82963.73,2179558834.00,37880.61,73716.17,1313297478.00,23673.55,99254.26,2088660775.00,352628.80,310192.40,381790.60,296279.60,706754.30,756585.10,265685.70,552576.50,677880.30,415376.80,397869.30,372489.70,604121.10,421201.40,454123.10,591053.40,361166.20,316607.00,49420.33,6224223638.00,12896.00,2226023058.00,19270048.00,8397050142.00,5849564414.00,2217529379.00,49612.78,912990564.00,38691.26,2168082571.00,12013.09,117854.50,123450.60,23419.99,55164.81,150849.80,297192.80,38693.08,360984.50,368309.30,63147.47,339879.00,378025.60,5196075334.00,564284.90,504355.40,386032.80,448148.10,450854.50,324115.60,426697.00,296932.60,307141.30,369643.10
unknown_411.1447_21.90224,30087.37,50215.29,2154651536.00,163571.50,134756.00,172049571.00,23498.37,26425.73,262380.40,1121485673.00,153227.90,1277097426.00,125493.00,102073.40,136561.90,182873.20,141393.30,108988.00,24002.15,25744.72,73336.95,67753.41,27524.60,42469.85,25487.24,24354.67,5375467635.00,48041.86,159424.70,130293.60,32305.94,70877.54,164347.10,77852.41,34800.28,113545.80,26569.48,1629393343.00,184359.70,5839128352.00,1037872028.00,209892.10,1757963066.00,162428.70,46677.61,5569512182.00,456864.30,82520.35,153122.30,1641175486.00,222288.20,58147.44,221960.80,310656.10,23113.83,255787.00,42183.57,1867991239.00,283758.20,41066.27,33378.96,1655175593.00,161536.10,96377.19,234442.90,169560.80,248081.50,163245.00,207480.30,280194.80,184990.10,187985.20
Gibberellin A5_[M]+_330.1451_40.80502,55656.19,2037329028.00,1223330705.00,21452.44,161546.10,1300830108.00,67847.26,144609.10,8285868835.00,141851.90,311084.60,136920.10,106333.00,216313.30,149665.10,119021.50,21641.98,1611574151.00,672918.40,642397.80,410372.20,477408.10,750834.80,948651.30,668402.30,1341806.00,1209757.00,941511.90,283813.30,318334.50,846788.70,326529.80,252644.50,683924.80,298576.60,377781.90,22956.41,21602.35,6824742862.00,1488485068.00,1276448165.00,107470364.00,172880.50,406713.70,138693.20,1459703121.00,389721.40,21705.46,1413085165.00,6737352968.00,2143798248.00,1569183148.00,218034702.00,189697537.00,71444.70,6631165087.00,152600.80,373527.70,1396066925.00,151187.70,617426.30,232058.50,628652.60,546898.60,178290.30,245186.40,442237.20,389786.10,408671.00,197930.50,181607.50,330229.00
unknown_337.1643_45.79052,37849.30,157834.60,309148.50,235505.50,1302625881.00,2076850761.00,35844.88,65258.36,175342.10,161414.60,165735.80,24104.63,95314.23,145453.80,9259597033.00,1292535324.00,122250.00,3960522.00,216463.40,224691.50,175558.10,214988.10,188119.40,200124.90,1868033337.00,258075.30,189447.60,1472165799.00,417089.20,5378830281.00,92717.55,282834.20,84214.76,2206586243.00,154981.10,126153.20,110927.00,188739.80,68745.99,140823.30,1555561947.00,113446.80,2063986644.00,172378.10,62571.52,68571.94,129751.60,1746653293.00,1864658169.00,1108714587.00,564004.80,50828.26,162046.30,1146015.00,221198.30,168887.60,144125.90,223663.50,113873.50,194222.00,1269294123.00,1988881233.00,184374.40,135554.00,143141.60,219953.60,257199.90,342389.20,413890.80,177119.90,341311.10,437097.70
unknown_279.0617_13.44446,33765.03,25913.16,22469.52,26125.49,24302.42,1297796149.00,6652335143.00,4390541726.00,50385.94,88209.91,31432.66,2230184202.00,56374.46,2173469107.00,6916095965.00,23406.64,7975809438.00,1082905975.00,138699.00,180036.20,79088.79,134647.60,69108.73,111638.70,58292.98,119420.60,54206.68,126794.10,303833.50,227641.50,97946.79,159505.50,120027.20,52079.67,565584.60,378918.00,44866.13,1680660739.00,23579.14,19496.78,69094.16,7660757773.00,1101418198.00,99281.88,1680512446.00,7165338307.00,46148.94,163098142.00,48494.16,70618.24,25986.45,149045.70,2681623181.00,70489.77,200299.60,1339123171.00,195748.60,154819.50,27091.18,130710.60,487893.50,21997.41,173520.70,131414.30,91071.22,136930.80,191909.00,324852.90,403850.30,222830.70,718955.50,661775.20
unknown_297.0949_5.883179,40021.40,22630.20,1165901236.00,24426.31,1209758808.00,24291.35,1388094925.00,35387.65,27010.47,9658599891.00,48455.15,16914.05,22848.68,22178.88,31071.28,9693899041.00,47119.84,36890.36,73130.96,87112.77,43528.75,68945.82,147197.30,63187.31,160999.60,136974.70,133529.20,174942.20,88519.48,413582.10,51562.02,111520.30,481417.80,23840.24,24260.16,598086.60,1112817234.00,27888.62,1766990065.00,26426.10,43439.43,1738656107.00,23163.15,6416988931.00,9382491537.00,23489.98,37078.32,58572.73,21828.98,49850.11,26768.17,1101862614.00,36830.09,22185.41,131315.70,25939.40,70534.15,43441.54,6616418533.00,100372.10,120020.20,1923588275.00,101773.80,119646.60,35534.28,49417.14,93890.41,24522.84,68325.79,53226.85,59432.82,24134.68
quercetin-3-O-rhamnoglucoside_[M+H]+_465.1066_32.33728,27802.10,100593.50,26045.43,22080.37,25176.68,84763.29,44620.45,7102755948.00,118330.10,380264.20,1581371863.00,146731.90,172900.10,60621.41,71295.76,1978255365.00,180547.50,342378.40,140250.50,39199.89,43977.67,132046.60,6950607254.00,28606.22,43795.66,1493758341.00,39517.73,79853.34,136210.70,61544.86,176094.20,18151698.00,25094.03,1643378446.00,39282.31,25344.91,1203278678.00,24601.38,5288522429.00,2157264794.00,89725.85,53518.18,1865876729.00,210477.90,373817.40,2319384908.00,220616.10,1712937293.00,6044672949.00,148689.70,126489.50,42235.95,191766.00,94801.16,551679.80,70239.70,561140.10,517573.30,75025.13,600128.60,464282.30,510888.50,228091.80,334931.00,259199.40,304621.10,434595.70,319898.40,281115.80,330066.10,235467.10,270888.50
unknown_129.0518_102.9284,219864.10,222953.10,175594.30,246007.60,268434.60,268456.00,189088.20,135741.80,255157.00,284415.20,169282.70,1238400368.00,208002.20,240824.50,5902576966.00,263673.90,310453.00,272870.10,364764.30,416580.90,2009875364.00,3071800011.00,914734196.00,388802.80,371140.20,486618.90,469048.90,377296.70,2012858616.00,434405.40,398857.60,282958.50,402361.70,1425801389.00,1431994537.00,456639.80,177089.00,263231.80,254685.70,169682.70,242088.50,8589711112.00,185406.20,272472.40,230389.40,102937.10,275053.40,221948.10,8966838318.00,246723.30,1337492248.00,2164896285.00,213804.40,242833.70,325850.30,339727979.00,325619.30,335519.20,207317.60,387571.30,446749.50,1335762905.00,401144.40,391714.20,390765.70,358163.00,7473303584.00,265441.70,402441.40,390426.50,356595.30,371294.60
"(3R)-3,4-Dihydro-3-(6-hydroxy-1,3-benzodioxol-5-yl)-2H-1-benzopyran-4,7-diol_[M]+_302.0813_3.517838",1562471.00,406833809.00,5181301414.00,1550657.00,139861.20,3799475612.00,6672406595.00,22874.23,646086.80,751437.00,2064392758.00,912176.90,1009735.00,1273720162.00,169753541.00,93317.94,1222427253.00,1429660171.00,681042.30,949286.50,824386.30,388729.20,1237182.00,1235039.00,6260419345.00,1072156.00,868029.90,231745.00,1397580.00,1207788.00,667475.80,746213.80,799766.80,729475.40,220154.20,173984.60,1948432498.00,2156733.00,182264.60,1501519904.00,2043710.00,1591916097.00,42287.01,892090.70,357513.50,1198182385.00,1187655.00,34596.42,860699.00,1452157.00,1817151975.00,898947.30,36121.42,583160.80,280306.50,151113.80,3084123838.00,381450.60,108377.60,428738.90,831771.40,564143.30,672151.30,612244.00,758688.40,793399.90,485967.00,251931.80,223983.60,377396.80,621579.20,446254.40
unknown_255.0955_18.66341,23860.42,103808.40,1093777189.00,47703.88,41078.02,42206.36,1036984867.00,48493.97,1882764316.00,2231772938.00,1790617257.00,1153199634.00,74012.09,1007478394.00,2226528045.00,8793475717.00,109538.60,1985848713.00,113979.80,40775.88,1629697575.00,99861.28,248112.00,237787.00,184376.30,299839.40,274240.70,278413.70,123683.00,109309.70,953151866.00,37764.96,1115525549.00,109991.80,2954013354.00,25970.45,21026.35,24833.91,24797.88,6693232632.00,2149793912.00,39027.98,26422.52,63000.86,24831.62,3688528174.00,1592533638.00,1692646028.00,75446.96,50699.02,38582.57,22214.19,1161055243.00,38127.34,58403.83,69908.82,69263.12,92106.63,108992.30,50064.70,305884.80,1464831793.00,22820.96,393016.90,30580.47,40039.59,83200.84,142263.80,210466.60,31059.76,113903.00,116157.90
myo-inositol_[2M+H]+_361.1349_12.58036,3174325153.00,5901880627.00,21123.88,4271404096.00,1946259046.00,23600.70,1130759509.00,24105.24,1642641426.00,1815742454.00,22972.20,7398121692.00,8064074382.00,1303120616.00,4174034185.00,20996.01,20704.13,26701.53,5048032.00,4812626.00,5014323.00,6022738.00,1773642.00,1899815.00,1599927.00,1985937.00,1745508.00,1708688.00,850413.70,459644.20,2744530.00,764208.30,477997.20,1983231.00,1046772.00,662571.70,161716804.00,1859560949.00,524189562.00,1188252731.00,1222228333.00,1075959128.00,2938685368.00,1579913358.00,516946227.00,1976456452.00,373408602.00,1886590495.00,1239995556.00,5775703192.00,21371.94,1065283256.00,24581.60,21165.62,5105234.00,9762763908.00,5694682.00,4825842.00,1670762475.00,5044234.00,1895621.00,24088.97,1560406.00,2390153.00,983660.70,1243483.00,3137341.00,3438625.00,3708839.00,2956378.00,2400382.00,1733128.00
unknown_453.3679_76.16281,9435774161.00,23849.40,1396166575.00,28373.08,5923718462.00,11430.34,1703485598.00,7079247662.00,19168.33,23160.54,6397291715.00,9620133534.00,3137836377.00,13801.98,174760241.00,4004087597.00,65597.26,4446200182.00,337552.70,165589.50,149357.00,320036.00,405604.70,335660.80,639902.00,503648.10,396996.20,553403.90,407563.90,294524.80,313586.40,595427.70,392445.60,436874.70,366202.40,252550.20,13297.02,2063483375.00,10396399.00,3273460854.00,24617.65,1631344598.00,1699811135.00,21917.44,3343848954.00,1491018288.00,9905948178.00,172301878.00,23487.71,1639564501.00,1822399543.00,25290.21,183894753.00,2114308748.00,313443.10,36521.47,222744.50,290932.30,81879.11,179648.30,414830.20,2047097672.00,265877.80,715126.70,314864.60,332353.20,248223.80,411788.80,357672.30,291058.50,434491.50,406260.80
unknown_307.0794_12.63608,2048711905.00,28294.95,1519383085.00,9581008717.00,711605182.00,2703907791.00,1411849365.00,23677.80,1277516784.00,1086514971.00,26975.86,1100284197.00,5819713343.00,1536167404.00,4380453129.00,25688.31,775607161.00,8845256844.00,8116554.00,10300000.00,11100000.00,9331433.00,9468164.00,7717868.00,8762175.00,9376431.00,7959996.00,8450781.00,8723462.00,5839078.00,10900000.00,8495973.00,5668798.00,7827306.00,7365722.00,5980044.00,1494662557.00,20398.44,22995.62,1977239722.00,1424168844.00,21265.07,2071085681.00,1197379225.00,6126305883.00,1896595783.00,1416152834.00,25212.33,9930293361.00,2612207718.00,200091151.00,22941.06,1425167153.00,24151.22,9783640.00,2837323589.00,8328784.00,8769748.00,23899.83,9992511.00,8487145.00,23969.61,7776464.00,9799412.00,7726402.00,8826059.00,9549081.00,11200000.00,10600000.00,8867544.00,11100000.00,10300000.00
L-Tryptophan_[M+H]+_205.0964_21.04182,1772350796.00,99500000.00,8848589015.00,72300000.00,95200000.00,1930083164.00,2011083878.00,89600000.00,574464.40,2001086247.00,111000000.00,1589263663.00,106385.90,51300000.00,165035.90,40400000.00,139335371.00,32600000.00,286813.20,158282.40,100448.30,208923.20,423764.30,442699.10,325973.60,550529.80,488256.80,399768.60,395351.80,233802.20,125655.40,214554.00,143921.10,86564.23,77401.99,4838598314.00,4000790806.00,210853.00,47100000.00,9047001015.00,1277218375.00,2097536594.00,1862959199.00,4322577251.00,1951816298.00,71200000.00,395357.50,57800000.00,2022101597.00,156803.40,24100000.00,2225833465.00,41000000.00,208520.20,24872.96,57300000.00,100018.10,45993.13,36500000.00,24569.12,147434.50,9691306167.00,517729.30,246745.00,259938.20,207209.50,70955.33,4690205405.00,8677017762.00,35770.90,26939.68,27854.40
unknown_249.0603_46.02397,2146606201.00,3256043186.00,21149.69,1078394698.00,2667104669.00,20857.34,1809079198.00,4867393803.00,3956656174.00,24433.05,22240.42,1986077693.00,23030.11,22110.10,39134.50,24732.03,1782233441.00,24570.23,159449.70,39269.73,134597.10,51918.33,149286.50,200718.20,133177.60,215942.70,180562.70,206876.30,254689.80,180965.10,239636.70,201577.30,201428.00,226906.80,635281.40,654424.20,1231585273.00,21486.07,1385711353.00,6738664755.00,2074164036.00,1157217584.00,5803403185.00,154242558.00,1345137698.00,1706248974.00,2080551385.00,38948.19,1665352943.00,11945.29,22669.46,21579.59,2134117866.00,22107.69,254522.40,5123772363.00,223908.40,268022.70,6570881555.00,173546.70,269250.10,23558.97,299669.70,234176.40,454407.70,490963.00,327550.20,813097.20,718775.10,251307.20,800387.80,693797.80
unknown_293.0642_2.800658,1918593.00,2202128.00,1978130.00,2524921.00,2815058.00,1183126.00,4380231.00,4374310.00,2141889214.00,4260190.00,5348646.00,1992201.00,266941.20,3361521.00,2220136258.00,2447608.00,3709203.00,2396454.00,385158.30,2048779422.00,105779.20,485614.90,1583983921.00,1630070357.00,990199.60,1449786351.00,1098806618.00,1235279.00,392708.70,357809.10,426136.50,340536.50,1533148827.00,357621.20,1013068377.00,43341.84,2147462282.00,2748450.00,3065351.00,2487250.00,3795926.00,2655414.00,2240924.00,2639015.00,683931.00,3285615.00,3383000.00,1582760.00,2078879.00,2711626.00,3876152.00,2290738.00,2725758.00,3626161.00,227271.40,3306862.00,1409034186.00,275011.80,3479049.00,1212778484.00,570286.70,1158821.00,1877115094.00,7315392145.00,84500.27,71630.52,98086.76,1074668426.00,5589783355.00,142356.90,173602.20,194303.70
Kaempferol_[M+H]+_287.0536_3.53496,146704342.00,3044167977.00,8220406607.00,2698360402.00,2102615626.00,1083483168.00,1738866623.00,41209.73,740426.80,3077235058.00,1216300238.00,1446002735.00,789626.60,113981.80,157009.50,141415.20,119327.50,2219725344.00,802680.00,1082354.00,984407.80,683635.10,954409.20,887890.70,845356.40,833985.80,811373.80,741292.00,718026.80,682243.80,825086.00,1046106.00,672115.80,624764.70,1089961.00,834849.20,86969.88,7316288869.00,58530.03,118848.60,193244311.00,20203734.00,24786.79,153731.50,7185727635.00,1805476234.00,42512.39,14805.88,7296829426.00,106361.10,1636039389.00,21308.95,2118493037.00,843435723.00,1241701.00,216061.00,646177.70,684481.80,5251671766.00,896156.50,667716.50,6482617456.00,990940.20,723135.10,521939.20,786724.20,824280.90,818842.20,653013.80,899251.80,498707.50,448851.30
JA-Ile_[M]+_323.2064_64.57086,25220.84,180016.70,48713.27,131148.40,1444248667.00,68179.22,54342.29,39316.58,533047.00,198264.60,2203171925.00,39223.37,118362.70,111497.00,26783.79,97750.78,434851.20,169342.90,23480.72,116489.80,152398.40,25422.85,177220.00,76668.19,44527.53,46135.25,6225476038.00,20897.87,83791.06,1532298516.00,45084.98,41077.48,1387705443.00,1652013357.00,66574.68,26135.49,26733.65,316606.30,1376634009.00,39443.64,344921.10,248138.10,206122.40,307035.40,23387.51,1416060828.00,274827.70,156306.40,9614333402.00,1669067313.00,290203.70,1097537701.00,193420.90,64435.25,144686.10,589912295.00,143399.00,142849.00,67477.12,24976.06,80607.37,128066.80,67390.26,1879304028.00,2075018535.00,61572.26,69785.29,23723.08,36900.45,149456.50,31954.29,1238707439.00
Glutathione_[M]+_307.0862_17.9379,7989527437.00,1944807475.00,50398.45,40867.61,37350.70,52709.95,22523.59,25582.53,5935866844.00,8725310847.00,26469.92,9758465047.00,24003.43,127256.40,1794844454.00,96334.56,143584.10,44865.43,24932.98,47773.98,34069.40,1129202788.00,22475.03,36743.72,35362.29,9695467119.00,25687.30,1990319679.00,1459565138.00,38972.43,38312.43,23001.42,22903.13,2696046056.00,1459121161.00,34355.45,370102.20,51152.76,150327.90,70155.73,52837.09,41265.78,4765789016.00,37757.08,27238.69,1589389996.00,1184235654.00,54746.31,37152.98,36872.95,63731.26,1126341546.00,37351.91,23662.68,34707.68,136590.70,23018.63,7274208953.00,114685.20,47458.70,21808.45,55453.77,1134872842.00,100223.90,39570.87,45943.54,25859.74,36241.99,22169.10,25145.10,133579.40,28180.82
unknown_263.0887_11.24638,26770.28,1296933074.00,2210343965.00,21654.52,107266999.00,23645.62,35199.39,5616386002.00,2068501041.00,26882.55,1601137158.00,24520.62,1942254349.00,24492.26,9490931464.00,21871.46,56809.40,9001535103.00,1355212.00,1418089.00,1077121.00,1783168.00,937636.70,843436.80,667861.90,920780.30,872329.30,1090925.00,806175.80,466405.20,1130044.00,801270.90,513142.00,785922.80,1147264.00,854758.20,182908.20,179888868.00,2743379939.00,2126670604.00,3799696371.00,4881473429.00,1168538821.00,1128794972.00,6360292793.00,1540699418.00,1401568002.00,2189490568.00,8336432677.00,1811685294.00,23761.52,171992251.00,216251922.00,20823.45,987101.50,23881.50,1266133.00,1185362.00,7738523434.00,931978.70,523608.70,25861.96,666894.60,596576.00,741854.40,690269.10,1284098.00,1550943.00,1087015.00,1067875.00,1114884.00,930527.70
"BABA (D,L-ß-aminobutyric acid)_[M+H]+_104.0701_3.00588",754604.30,1230164289.00,669590.10,1318864419.00,1430299724.00,712433.50,2024995509.00,1997673686.00,829068.40,1106940.00,1876968791.00,1223316.00,1267582.00,1609537257.00,13000000.00,1416913519.00,1668694452.00,1474014144.00,1708808.00,2338888.00,1972978.00,1934089.00,6094760.00,5794472.00,2270740.00,4662048.00,5415418.00,1630601.00,7214082.00,5887964.00,1926200.00,7513828.00,6725742.00,1638435.00,7890180.00,7477176.00,1333438161.00,348507.80,2769547192.00,1030576418.00,497082.90,515057.60,888979624.00,473434.10,715703.00,7180345043.00,652554.20,696620.80,596669.80,837437.90,208119.60,740055.80,1506645061.00,187320.10,1433110.00,1144086894.00,1247000.00,1496786.00,1898268934.00,1268612.00,1960538.00,1097501.00,4097863.00,2447256.00,2287342.00,2516119.00,2745202.00,1298228.00,1448843.00,1746369.00,1397170.00,1149221.00
Afrormosin_[M]+_298.0819_55.63798,76389.32,3242973682.00,8443056146.00,506034089.00,273409.50,1890137306.00,175458.00,1573272798.00,5006260863.00,2074710095.00,9693039582.00,1849361158.00,65785.68,1454291321.00,163063684.00,152606.20,2808535484.00,66324.68,347969.90,283371.70,339039.20,485702.00,599164.70,628298.30,518951.10,777744.30,600985.50,536290.90,575228.10,388973.80,382566.90,608352.40,519702.90,428912.90,1903055.00,1514059.00,1808959455.00,1204190331.00,31112.07,6435339288.00,3997910077.00,89853.54,1071879258.00,4126217211.00,16745.55,1189420493.00,1523149199.00,205854.60,128025.80,1667259894.00,21510.74,128125.30,978866404.00,18915.22,354618.00,70202.85,240250.80,317970.80,3587721664.00,277512.70,398365.20,23645.90,787117.80,783885.50,646299.60,793943.00,583149.20,1667655.00,1684842.00,528631.40,2570402.00,2112656.00
ABA_[M]+_264.1375_21.64742,24656.90,1908427661.00,1980325308.00,21562.52,24322.12,4684875455.00,25889.26,1243314153.00,105581.50,23775.61,1052896203.00,21067.94,90901.79,1626275768.00,1114932084.00,1396033384.00,81377.27,23311.02,25800000.00,29400000.00,24300000.00,29800000.00,28900000.00,24900000.00,18900000.00,27600000.00,25600000.00,20100000.00,18700000.00,18400000.00,29400000.00,22600000.00,22500000.00,25500000.00,40000000.00,31200000.00,22230.84,39306.50,6364004736.00,22898.80,5447755199.00,1953593378.00,2223592033.00,40866.17,9739020155.00,1953536591.00,127996.00,22705.97,2183084983.00,7542674738.00,2022135952.00,8682346339.00,7177930661.00,25307.92,27400000.00,4811945793.00,27600000.00,31300000.00,21852.63,31100000.00,16500000.00,19434.68,25100000.00,21000000.00,23600000.00,24500000.00,22200000.00,53500000.00,50600000.00,22600000.00,43800000.00,37600000.00
